region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size
POA2405,38,450,577,0,1181,1.1,1014,2.5
POA2406,35,650,620,45,1353,1.1,1059,2.5
POA2408,34,433,660,0,1357,1.1,1093,2.6
POA2409,30,362,339,110,827,1.2,834,3.1
POA2410,42,433,363,0,747,1.1,711,2.5
POA2415,46,1940,406,170,1055,1.1,890,2.4
POA2420,46,1625,447,180,1130,1.1,865,2.4
POA2421,43,1777,593,155,1577,1.1,1308,2.7
POA2422,50,1473,412,160,972,1.1,795,2.3
POA2423,48,1207,386,175,921,1.1,776,2.4
POA2424,46,1067,347,111,751,1.1,634,2.4
POA2425,42,1404,420,170,1162,1.1,913,2.6
POA2426,45,1083,383,173,880,1.1,694,2.3
POA2427,59,1500,362,225,760,1.1,638,2.1
POA2428,53,1430,393,220,865,1.1,705,2.1
POA2429,47,1300,395,185,957,1.1,786,2.4
POA2430,45,1300,402,200,944,1.1,780,2.4
POA2431,53,1408,386,225,872,1.1,711,2.2
POA2439,45,1430,395,250,968,1.1,880,2.6
POA2440,42,1257,387,180,913,1.1,763,2.5
POA2441,46,1343,411,200,1026,1.1,894,2.6
POA2443,56,1408,379,223,823,1.1,667,2.1
POA2444,46,1733,470,250,1067,1.1,857,2.3
POA2445,44,1733,469,310,1101,1.1,957,2.6
POA2446,43,1534,432,230,1013,1.1,869,2.6
POA2447,48,1170,383,195,887,1.1,738,2.4
POA2448,51,1452,378,195,852,1.1,676,2.1
POA2449,45,1025,361,150,767,1.2,676,2.4
POA2450,42,1600,481,250,1137,1.1,920,2.4
POA2452,41,1517,457,250,1055,1.1,851,2.4
POA2453,48,1083,379,160,873,1.1,700,2.2
POA2454,43,1354,441,255,975,1.1,843,2.5
POA2455,51,1300,392,224,885,1.1,730,2.2
POA2456,43,1517,446,260,1001,1.1,880,2.5
POA2460,43,1300,411,200,972,1.1,807,2.4
POA2462,48,1083,375,200,829,1.1,670,2.4
POA2463,48,1300,402,220,936,1.1,790,2.4
POA2464,52,1517,398,255,867,1.1,733,2.1
POA2465,43,1625,370,210,1012,1.1,837,2.5
POA2466,57,986,353,200,742,1.1,577,2.0
POA2469,47,953,341,130,770,1.1,647,2.4
POA2470,41,1300,416,200,972,1.1,806,2.5
POA2471,40,1222,432,210,1039,1.1,875,2.7
POA2472,44,1300,419,185,937,1.1,806,2.3
POA2473,51,1309,390,228,866,1.1,696,2.1
POA2474,45,1213,386,180,909,1.1,729,2.4
POA2475,48,914,340,140,936,1.1,567,2.5
POA2476,40,934,362,120,861,1.1,719,2.6
POA2477,46,1603,488,260,1166,1.1,956,2.4
POA2478,45,1733,497,300,1146,1.1,913,2.3
POA2479,43,1513,521,350,1237,1.1,1028,2.6
POA2480,40,1495,468,225,1120,1.1,905,2.4
POA2481,41,1850,504,393,1157,1.1,950,2.3
POA2482,44,1517,419,288,925,1.1,773,2.4
POA2483,43,1549,460,320,993,1.1,840,2.4
POA2484,44,1528,426,250,1001,1.1,834,2.5
POA2485,52,1725,420,280,929,1.1,732,2.0
POA2486,46,1842,435,310,1065,1.1,868,2.4
POA2487,44,2037,494,310,1174,1.1,896,2.3
POA2488,39,1625,505,305,1126,1.1,966,2.5
POA2489,40,2167,461,350,1144,1.1,950,2.5
POA2490,42,1300,530,280,1238,1.1,1107,2.7
POA2500,33,1907,480,270,1411,1.1,1006,2.3
POA2502,40,1625,359,180,921,1.1,766,2.5
POA2505,43,1733,387,200,994,1.1,809,2.4
POA2506,40,1625,386,165,1113,1.1,884,2.6
POA2508,36,2400,700,360,2039,1.1,1837,3.0
POA2515,40,2167,694,360,2029,1.1,1702,2.7
POA2516,38,2299,600,220,1809,1.1,1463,2.7
POA2517,40,2167,537,260,1588,1.1,1225,2.5
POA2518,40,1950,465,220,1319,1.1,939,2.4
POA2519,39,2000,469,260,1437,1.1,1066,2.5
POA2525,39,2000,570,280,1726,1.1,1395,2.7
POA2526,38,1847,522,215,1609,1.1,1342,2.8
POA2527,35,1900,525,280,1466,1.1,1318,2.9
POA2528,42,1733,391,215,1022,1.1,819,2.4
POA2529,37,2000,537,300,1554,1.1,1343,2.8
POA2530,38,1820,489,250,1343,1.1,1137,2.7
POA2533,46,2000,574,300,1540,1.1,1246,2.5
POA2534,44,1900,538,300,1483,1.1,1197,2.6
POA2535,52,1842,486,255,1168,1.1,883,2.2
POA2536,48,1517,432,236,935,1.1,792,2.3
POA2537,50,1400,435,206,975,1.1,806,2.3
POA2538,51,1636,437,230,1014,1.1,892,2.4
POA2539,50,1321,395,235,881,1.1,747,2.3
POA2540,45,1532,428,230,994,1.1,847,2.4
POA2541,41,1400,426,195,1022,1.1,812,2.3
POA2545,49,1192,429,120,965,1.1,797,2.3
POA2546,54,1300,389,190,890,1.1,718,2.1
POA2548,53,1500,485,230,993,1.1,853,2.1
POA2549,47,1517,463,210,1086,1.1,912,2.5
POA2550,45,1300,458,185,1055,1.1,869,2.4
